ID,bug type,species,pixel_ratio,r_min,r_max,r_mean,r_median,r_std,g_min,g_max,g_mean,g_median,g_std,b_min,b_max,b_mean,b_median,b_std,shape_sym_h,shape_sym_v,color_sym_h,color_sym_v,aspect_ratio,extent,eccentricity,solidity,compactness,hsv_h_mean,hsv_h_std,hsv_s_mean,hsv_s_std,hsv_v_mean,hsv_v_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,bg_r_mean,bg_g_mean,bg_b_mean
1,Bee,Apis mellifera,0.007198875,5.0,203.0,66.75198671088654,54.0,47.33170542423233,3.0,199.0,53.38582996185747,36.0,44.418370430826776,0.0,185.0,38.788277103482606,23.0,35.28903101635149,0.6192745426616395,0.6547444490992878,0.846316315165145,0.8638865234374407,1.2329545454545454,0.5026445328864684,0.4025252278541318,0.6491052744288446,8.772426640493727,0.12757749330005297,0.19734765979336252,0.4464126580027149,0.1626687137458262,0.26207090500592245,0.1854797071177309,1.56449535050043,0.9139984966471533,0.5145961038884325,0.9694763378314053,107.4036039107698,105.3778181153854,84.57314785308421
2,Bee,Apis mellifera,0.0083055,2.0,248.0,62.01778439989565,54.0,41.36958493766825,2.0,251.0,50.14045913350591,32.0,41.83047119164551,0.0,244.0,34.09314109124476,18.0,33.48635297255801,0.6149655668619591,0.781889197245349,0.8922366446607195,0.8905753042528782,1.5326086956521738,0.42684242984890536,0.5944545275816028,0.566227789850441,8.735882040382737,0.13502272553546002,0.18991704077078492,0.4927100164837062,0.21845572554782786,0.24340365448047457,0.16215933359229626,1.3094749947671525,0.9359640655499695,0.5922191705403234,0.9669395531063429,101.10670003043612,98.70777400029276,74.86179055982798
3,Bee,Apis mellifera,0.02176816666666667,3.0,255.0,106.61353160961343,113.0,58.829301846083595,0.0,255.0,87.0680064160969,84.0,59.99120932880344,0.0,255.0,62.86286358520469,51.0,54.727877606300765,0.5986573064340239,0.7059501090512541,0.7858341507722681,0.8197685489590238,1.0687022900763359,0.4450961014176663,0.2453533932304425,0.6232371263399749,8.895097354481065,0.0970921002483812,0.07636644593692725,0.4916519673289066,0.24057370679645876,0.41820061945105125,0.23069370075782167,1.4545438430501665,0.9119963115123013,0.5656595091738134,0.9861120262308468,126.86068805945966,121.47976919581606,96.47092982048734
4,Bee,Apis mellifera,0.01286725,5.0,210.0,86.36040464486713,86.0,46.08221384611544,3.0,201.0,69.58187128821879,59.0,45.53858556033608,0.0,190.0,49.07817974573692,35.0,36.603395066553986,0.7070562414266117,0.7084444444444444,0.8577120238127258,0.8499996915821655,1.296,0.42361316872427984,0.7354920119456737,0.6086024260220924,9.146647273595365,0.11321430193390115,0.14235842483574626,0.47053880843595197,0.1816730110229974,0.3389285663036967,0.1803980316337285,1.4000924130717654,0.9299504427060864,0.5819245671103512,0.9772075408683017,113.10964009990889,113.75337790180703,89.6426056931046
5,Bee,Apis mellifera,0.008956916666666667,6.0,255.0,121.95034098415563,132.0,62.21022643470414,0.0,250.0,99.49643664579514,88.0,62.67706248782119,0.0,245.0,79.55339449029148,60.0,60.16829104747968,0.5332924836601307,0.6085215336134453,0.7688699506218609,0.7901524396523315,1.2142857142857142,0.3920219129318394,0.6530879694082289,0.5631834591745306,9.808216077131753,0.1119836215408227,0.17190026040743903,0.40492719843246416,0.22891112914761919,0.47831908849060123,0.24386527643780043,2.8914285097307575,0.9157756977828687,0.6073988005636436,0.975897490287817,122.32881971074752,120.02763779946667,90.71472443554211
6,Bee,Apis mellifera,0.00577325,7.0,201.0,99.59440811790009,107.0,49.59927894957547,4.0,199.0,83.30717100420041,76.0,51.17806884486366,0.0,204.0,67.20617358795594,53.0,48.58054320952524,0.6373703112529928,0.7523693136472466,0.8187236579920609,0.833790373691376,1.5982142857142858,0.4319570530726257,0.7643131572833073,0.6328872242269219,8.903195313088917,0.13081351407399075,0.19114811444886412,0.38236586452030935,0.20375777736676307,0.39110125610312835,0.19451739190607265,2.1549454228278804,0.9231834206027842,0.5699363565401512,0.9747395236943726,89.92479645614041,99.41304502887965,74.53502043170735
7,Bee,Apis mellifera,0.005498625,12.0,236.0,91.16563989482219,87.0,40.69376857496833,9.0,232.0,71.59900581205908,69.0,35.6971654168132,4.0,221.0,50.26159570195579,41.0,33.30322962562209,0.5446399906604793,0.652153926976622,0.8364821310131034,0.8691852279150187,0.6527777777777778,0.48144864722878905,0.9011619737930271,0.7281942336874052,7.012825909084635,0.18314397263112925,0.25700959240189714,0.4658543541546905,0.19770579642409639,0.3654639447146398,0.15456255739939867,1.3425156295487515,0.9206774060985108,0.5229015910189051,0.9766548022477095,113.52530231544426,130.13409282616627,91.1850511937871
8,Bee,Apis mellifera,0.007269875,4.0,167.0,54.77013016042229,46.0,34.724934972706954,4.0,171.0,42.12124234139743,31.0,34.358432003714796,3.0,183.0,35.773144884426024,24.0,35.818378359645735,0.6541550720971414,0.6379015937262839,0.9256558452521558,0.9230191450707762,1.0296610169491525,0.33705912441003466,0.8771695192003561,0.6071955854789902,7.217573852591844,0.23360045243449912,0.3169626596859592,0.4028078735821805,0.223168615670196,0.21781355079443582,0.13881237389300233,0.7124221387406016,0.9631296262092585,0.7012291119111922,0.9676855065948406,96.04861626752118,99.44895925264683,85.77437414490335
9,Bee,Apis mellifera,0.007018,6.0,255.0,87.15537427567209,91.0,53.00476828819554,3.0,255.0,70.93437707798994,62.0,52.06225457394116,0.0,255.0,67.51731262467939,54.0,54.576613331092375,0.8025889967637541,0.5461165048543689,0.8802799797985971,0.804142090599741,1.0485436893203883,0.42059211314874745,0.5226488555620042,0.6903007401700014,7.964201077384703,0.20572077483554022,0.3194730823540318,0.3588072133492009,0.23695430370672713,0.3443893340560314,0.2108205951838661,1.13921851905863,0.9138928120880135,0.587636225110221,0.9844500601076434,114.76501063631231,107.78738453130738,114.68167155430142
10,Bee,Apis mellifera,0.015549583333333334,4.0,255.0,82.40465178595353,79.0,52.366923353374155,0.0,255.0,63.1810552265602,47.0,48.85221238047223,0.0,255.0,59.67971810605857,43.0,50.48384830198317,0.5976251487141941,0.5278152740916995,0.834699305731261,0.7780692546076726,1.1377551020408163,0.5336408666605655,0.4809636169016117,0.6809688556059179,7.623751357265572,0.2258179717500152,0.34219335786571636,0.41178751057464225,0.23092386129728673,0.32557295894589783,0.20826664705548834,1.2316764277949062,0.890480082312136,0.49472850494699766,0.9827548388935461,114.63674656036935,108.09226446566421,114.35553589333473
11,Bee,Apis mellifera,0.013443375,12.0,255.0,120.4393830914236,124.0,45.92126133570713,2.0,247.0,88.93456814230058,90.0,42.52963804081841,0.0,255.0,82.08165422249498,80.0,46.75243688477765,0.6953618656765032,0.6728877597550649,0.7937747675111658,0.7987116766620177,0.9224806201550387,0.5838219008533646,0.6177139928334994,0.7639909071535128,6.122317003467475,0.23233814328147726,0.3514014996525729,0.38543035203851705,0.180748002670593,0.4741623406966438,0.18232114015070777,1.5755676515793156,0.8247529057563816,0.42023796805339336,0.9836501972949964,91.03455681015775,94.1474755271481,69.11844813435485
